created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year
1586452644.0,iPhone,1586452808.0,yoga,False,False,58bcabce8f254c4494b7e9329620372e,False,,Yoga Workout,a2f1778a4da04aaab42c6a6cdf35cfc7,iOS_app,1586452704.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,141.0,6.0,,,,,1586452644.0,1586438244.0,,,,Anna Greenberg,2020-04-09 17:17,Thursday,evening,April-20
1586452506.0,iPhone,1586452596.0,yoga,False,False,40298084b6a24334b0623a8800f994ee,False,,Yoga Workout,362a606420c2424184de06c2fa4a1926,iOS_app,1586452537.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,65.0,17.0,,,,,1586452506.0,1586438106.0,,,,Anna Greenberg,2020-04-09 17:15,Thursday,evening,April-20
1586452281.0,iPhone,1586452463.0,yoga,False,False,063288ed6a3b4087b077398c8fbf7606,False,,Yoga Workout,877521a4c04b4a9abf115baf779dd5d6,iOS_app,1586452311.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,158.0,15.0,,,,,1586452281.0,1586437881.0,,,,Anna Greenberg,2020-04-09 17:11,Thursday,evening,April-20
1586451866.0,iPhone,1586452090.0,yoga,False,False,79316a0352ac4858afec8e07d2af407a,False,,Yoga Workout,95a9ffe114f84408bed37a4d7010d414,iOS_app,1586451896.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,190.0,14.0,,,,,1586451866.0,1586437466.0,,,,Anna Greenberg,2020-04-09 17:04,Thursday,evening,April-20
1586451623.0,iPhone,1586451852.0,yoga,False,False,d2e8f32eadd94eb5ba0973c0fe5451ef,False,,Yoga Workout,fb884e07e29d4e77806a9eea6f826c04,iOS_app,1586451653.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,184.0,17.0,,,,,1586451623.0,1586437223.0,,,,Anna Greenberg,2020-04-09 17:00,Thursday,early afternoon,April-20
1586450726.0,iPhone,1586450930.0,yoga,False,False,a5c2ab777f934acab0c76beb42ebc7a3,False,,Yoga Workout,2eec43d68c8d445d84cad9778c30e3da,iOS_app,1586450816.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,165.0,15.0,,,,,1586450726.0,1586436326.0,,,,Anna Greenberg,2020-04-09 16:45,Thursday,early afternoon,April-20
1586450452.0,iPhone,1586450631.0,yoga,False,False,5487f99cfaec4761a46e3eba46582087,False,,Yoga Workout,f99f46e65b334fe4a0103aacb408b1af,iOS_app,1586450482.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,139.0,7.0,,,,,1586450452.0,1586436052.0,,,,Anna Greenberg,2020-04-09 16:40,Thursday,early afternoon,April-20
1586449938.0,iPhone,1586450109.0,yoga,False,False,4a74a520a1284a06b3d2530d5026d88f,False,,Yoga Workout,32caba5f011e49e88626305c73eb8d2e,iOS_app,1586449968.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,130.0,15.0,,,,,1586449938.0,1586435538.0,,,,Anna Greenberg,2020-04-09 16:32,Thursday,early afternoon,April-20
1586449666.0,iPhone,1586449785.0,yoga,False,False,1ef051883c3a4dee906360e72370efde,False,,Yoga Workout,17b60d3838534ecb9b25f0f602fd8ca9,iOS_app,1586449696.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,95.0,20.0,,,,,1586449666.0,1586435266.0,,,,Anna Greenberg,2020-04-09 16:27,Thursday,early afternoon,April-20
1586449225.0,iPhone,1586449314.0,yoga,False,False,c6b83cfcc89d4849b82bec1fc0c6ad92,False,,Yoga Workout,2fbdc32db70b45cbaeafd7bb82a5fd6e,iOS_app,1586449314.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,58.0,2.0,,,,,1586449225.0,1586434825.0,,,,Anna Greenberg,2020-04-09 16:20,Thursday,early afternoon,April-20
