,created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,ride,instructor_name
28,1620388823,iPhone,1620389281.0,yoga,False,False,76a224ce0a9941d798995a77af487e80,False,,Yoga Workout,f2b11fdd1d074412bb3eabf65e949a81,iOS_app,1620389221,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,44,1,,,,,1620388823,1620374423,,,,,Mariana Fernández
29,1620325898,home_bike_plus,1620326627.0,strength,False,False,95081b0ea12d4c65b2823f88b08a5021,False,,Strength Workout,b6ee5c1354d24a0e876d0189e5a2b6cc,home_bike,1620325960,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,721,0,725.0,1.0,,,1620325898,1620311498,,,,,Adrian Williams
30,1620324615,home_bike_plus,1620325868.0,strength,False,False,a3411899e9b74401b476a40b946ac9c7,False,,Strength Workout,bbc22a127db84fba8658e5afa27f2866,home_bike,1620324677,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,1231,0,1247.0,1.0,,,1620324615,1620310215,,,,,Chase Tucker
31,1620297613,iPhone,1620300285.0,yoga,False,False,8e1c2936ed5b4801aa0f272395f8cf2b,False,,Yoga Workout,1315e29d8e4c40629d7ed7ea78c29cc2,iOS_app,1620297643,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,36,8,22.0,0.0,,,1620297613,1620283213,,,,,Mariana Fernández
32,1620248511,home_bike_plus,1620249659.0,strength,False,False,a297f36c00d84862a7a7b9fbeb95444a,False,,Strength Workout,0b0ab2af472546ef827985f69c8073c3,home_bike,1620248515,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,1140,1,1326.0,1.0,,,1620248511,1620234111,,,,,Selena Samuela
33,1620229887,home_bike_plus,1620232647.0,strength,False,False,069fe6b5271a47e0a48375fa47e74666,False,,Strength Workout,275661668d9d4ec787c7b6f02ea69c78,home_bike,1620229949,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,2731,0,2930.0,0.0,,,1620229887,1620215487,,,,,Andy Speer
34,1620130152,iPhone,1620130664.0,strength,False,False,2281156efd4345dcab308f71402a25f5,False,,Strength Workout,1bd87314807a4f30ae2e8689f68029cf,iOS_app,1620130181,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,257,1,239.0,0.0,,,1620130152,1620115752,,,,,Jess Sims
35,1620129637,iPhone,1620130019.0,cycling,False,False,8cb534311a544921a1ac7fca29519c4e,False,,Cycling Workout,3de39743e5f045c684ad85536eee3dd4,iOS_app,1620129666,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,359,1,379.0,0.0,,,1620129637,1620115237,,,,,Denis Morton
36,1620124300,iPhone,1620127350.0,yoga,False,False,35ae467862274a4b9ce056d84e732f41,False,,Yoga Workout,f999282b7dc14419bca5e4476bfe3447,iOS_app,1620124329,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,971,2,972.0,0.0,,,1620124300,1620109900,,,,,Kirra Michel
37,1620088972,home_bike_plus,1620089632.0,yoga,False,False,5c43737b81374bc593076722e33480f2,False,,Yoga Workout,bb804fe403044403abf17ae167b6d8b8,home_bike,1620089033,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,631,0,660.0,0.0,,,1620088972,1620074572,,,,,Mariana Fernández
