,created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,instructor_name
25,1642528791,web,1642529018.0,running,False,False,10db55430987439b9c12f2f6091965e5,False,,Running Workout,af5b98a703de4cfd89bb2db54176a62a,web,1642528809,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,34.0,5.0,,,1642528791,1642528791,,,,Marcel Dinkins
26,1642527758,web,1642527845.0,running,False,False,5315cf15603a477ab08632e5de4e7cc2,False,,Running Workout,e8e5d569cd1a4e988b6c4f63b3edc553,web,1642527800,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,77.0,5.0,,,1642527758,1642527758,,,,Tobias Heinze
27,1642527460,web,1642527739.0,running,False,False,e667f41209394a12aa2b9d5799ddb8cd,False,,Running Workout,9ccc4de304934265956cc469175abb2d,web,1642527497,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,258.0,5.0,,,1642527460,1642527460,,,,Marcel Dinkins
28,1642527207,web,1642527430.0,running,False,False,4cf7fddee9e4412f81150c566a71192a,False,,Running Workout,12973648ba80400f9a52644aad8876e2,web,1642527250,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,240.0,3.0,,,1642527207,1642527207,,,,Matt Wilpers
29,1642355638,web,1642356272.0,strength,False,False,f8d42d3470ce45f89dd4f593c2430b34,False,,Strength Workout,5b7e6029ebbb458b9e53adcca2f040c5,web,1642355669,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,230.0,30.0,,,1642355638,1642355638,,,,Andy Speer
30,1642355485,web,1642355618.0,strength,False,False,b1acf5a02d07494296a86c4780896aa5,False,,Strength Workout,45e06f80f20e4626ba7cae14bf07a420,web,1642355500,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,117.0,8.0,,,1642355485,1642355485,,,,Jess Sims
31,1642355392,web,1642355471.0,strength,False,False,35d0ef51c1dc44edb2fd5b971faa3dba,False,,Strength Workout,0ca7a33c08d540ae9b0f49e8abbf08dc,web,1642355407,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,71.0,6.0,,,1642355392,1642355392,,,,Jess Sims
32,1642354630,web,1642355385.0,strength,False,False,1ea95ec96e45400594c301f31ac5834b,False,,Strength Workout,91cd4963552d4b5aa4e54a94683987e7,web,1642354647,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,482.0,23.0,,,1642354630,1642354630,,,,Jess Sims
33,1642274073,iPhone,1642274790.0,strength,False,False,2ab77921997b464f8d9b02b05672b3c0,False,,Strength Workout,039cc25019ae47e6a697d0a881a04372,iOS_app,1642274103,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,218.0,6.0,,,1642274073,1642274073,,,,Jess Sims
34,1642273833,iPhone,1642274066.0,strength,False,False,d0fa74f681104034a411435617d9859b,False,,Strength Workout,55671c5ee87d4e19a98c63131aa74456,iOS_app,1642273863,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,185.0,1.0,,,1642273833,1642273833,,,,Jess Sims
